name,Accuracy,Balance Accuracy,F1_score,MCC
EPA_knn_ecfp6bits,0.6261516654854713,0.5570114386036944,0.6158683035752514,0.4090730179544147
EPA_svm_ecfp6bits,0.6215450035435861,0.5163113022022415,0.593787154866615,0.38949881052414576
EPA_RF_ecfp6bits,0.630049610205528,0.5069122436594876,0.5924269405950819,0.4069299125709207
EPA_xgboost_ecfp6bits,0.6222537207654146,0.528022250775483,0.6002499382570949,0.39233419218981896
EPA_knn_ecfp6counts,0.6311126860382708,0.5645314255539108,0.6208694655598109,0.41637066430221137
EPA_svm_ecfp6counts,0.6265060240963856,0.514917790843884,0.6001488206214821,0.3972109566883864
EPA_RF_ecfp6counts,0.6360737065910702,0.5156292837696902,0.6042983605388544,0.41581722983029834
EPA_xgboost_ecfp6counts,0.6318214032600992,0.5524395115273574,0.6193697432500876,0.41487198347281057
EPA_knn_maccs,0.6282778171509568,0.5665420682730216,0.6179033604661465,0.41373237145227554
EPA_svm_maccs,0.6243798724309001,0.5280726571855398,0.6031152892833139,0.3973027811903187
EPA_RF_maccs,0.6470588235294118,0.5597057437921018,0.6301190773624209,0.43732883637849024
EPA_xgboost_maccs,0.6353649893692417,0.547024068090494,0.6177012400120111,0.4165245681921688
EPA_knn_rdkit2d,0.6417434443656981,0.5795151917141061,0.6327220755213979,0.4362653294796405
EPA_svm_rdkit2d,0.6364280652019844,0.5479582350025856,0.6186975949005431,0.41821252051214264
EPA_RF_rdkit2d,0.6587526576895819,0.5706526673937231,0.6430205339838978,0.4567736350803515
EPA_xgboost_rdkit2d,0.6566265060240963,0.5882570108914287,0.6467700434385517,0.45733902931080767
EPA_knn_mordred,0.6350106307583274,0.576779027754237,0.6259009552595995,0.42598428114670334
EPA_svm_mordred,0.6343019135364989,0.5477360031228792,0.6171978025261661,0.4150901538212095
EPA_RF_mordred,0.6594613749114103,0.5660309581350782,0.6436937695550192,0.4566731844812981
EPA_xgboost_mordred,0.6665485471296952,0.5954295787755356,0.6551178633012295,0.47263251324545086
