CASRN,LD50_svm_maccs
23233-88-7,-0.022119822981049503
87-12-7,0.05975480279371226
15435-29-7,-0.5296786532310962
629-03-8,0.3064624638065445
488-41-5,1.0273656966306177
26846-51-5,0.9451413744317168
1324-11-4,0.5874504735595566
4228-97-1,-1.6000774505943236
41035-29-4,-1.7499477854126368
87-10-5,0.14336981482155373
21466-07-9,0.4033193336888134
63333-35-7,-0.782302673737179
57729-86-9,-0.8727612332422492
118-79-6,-0.4877862135839391
25333-96-4,-0.05773306990422314
1689-99-2,-0.41200734228199437
3562-84-3,-0.4674685172096942
611-75-6,0.3286948087022348
3296-90-0,-0.09221736636137584
13181-17-4,0.23559895064758485
615-58-7,0.066205692030367
6609-53-6,-1.2371522449276813
53615-23-9,-1.9002272307039525
89427-28-1,-1.708324151399983
89427-33-8,-1.7499477854126368
14689-56-6,-1.7727732828510903
3393-60-0,-1.7604503591275147
89427-29-2,-1.6201569378574392
15287-51-1,0.24695788688378154
94847-66-2,0.13945748654506698
2034-22-2,-0.5227133767999891
50585-41-6,-2.051708662704471
3322-93-8,0.5464354582768531
7682-32-8,-1.6201569378574392
89427-35-0,-1.8516219665989198
126-72-7,-0.5118286378030522
2338-30-9,-1.640867347040547
608-71-9,-0.047686221718286514
3674-13-3,0.6575217659929092
78-75-1,0.51090934747245
89427-38-3,-0.8629971889072217
10474-14-3,0.668101983316042
300-76-5,-0.7900810563182745
2872-96-0,0.27920967406343045
106-93-4,0.15235768534028712
1947-58-6,0.6888421028745862
96-13-9,0.030347020836039323
96-12-8,0.13478424816634652
18791-02-1,-0.15340316539250287
75-81-0,1.0333960047224071
590-12-5,0.16402649209540052
14689-59-9,-1.7499477854126368
79-27-6,0.46277512764939943
63867-08-3,0.854832826459494
64047-47-8,0.5001004932956855
63938-47-6,0.6889352080638492
613-53-6,0.12330202381273808
115-17-3,0.6228230787445694
75-25-2,0.3950162266145956
42136-31-2,-1.2565394456315813
64050-72-2,-0.18161088313962295
42136-30-1,-0.14750207001515742
26637-71-8,1.292062894967502
69094-18-4,0.4068247052197291
74-95-3,0.7857374626080753
3252-43-5,0.47083076543884705
598-91-4,-0.36568138322957533
124-48-1,0.7525322396479626
25497-30-7,1.0513991247519827
473-49-4,-0.037119897417277586
117900-35-3,0.26238593602956906
4460-32-6,-0.15916338545442876
2260-08-4,0.5732530609781007
386-17-4,0.5715979170219403
67-30-1,0.3515100076251806
16423-68-0,-0.4797162045355051
59017-64-0,0.4792937364727723
7246-21-1,0.39887826041973373
96-84-4,0.46444939622975967
59939-17-2,0.4883279809017659
16034-77-8,0.986531490373916
22730-89-8,0.6937415831992841
