CASRN,EPA_knn_mordred-1,EPA_knn_mordred-2,EPA_knn_mordred-3,EPA_knn_mordred-4
23233-88-7,0.12829915637588488,0.46552928193858883,0.40617156168552637,0.0
87-12-7,0.0,0.5347821506247573,0.37007672940798175,0.09514111996726093
31810-89-6,0.09600495650892114,0.09689566398643386,0.5191211032146441,0.2879782762900008
60012-87-5,0.0,0.20816009519569054,0.6846347168784069,0.10720518792590245
15435-29-7,0.25419821992792646,0.5190061850895119,0.22679559498256172,0.0
629-03-8,0.0,0.10787523572678201,0.6916222517780606,0.20050251249515733
488-41-5,0.10250850259243573,0.1979533378962419,0.48657549825695423,0.2129626612543683
84-59-3,0.11637574768430031,0.22692981785909702,0.6566944344566026,0.0
26846-51-5,0.0,0.21348950886959653,0.669326361401452,0.11718412972895162
55916-20-6,0.09228260665026573,0.5582567071619577,0.24628407424173274,0.10317661194604376
1324-11-4,0.0,0.10796011907706171,0.4944531077321443,0.397586773190794
4228-97-1,1.0,0.0,0.0,0.0
41035-29-4,1.0,0.0,0.0,0.0
87-10-5,0.0,0.33470757764211545,0.5776190776432214,0.0876733447146631
25327-89-3,0.0,0.207707231671102,0.48518435955524375,0.30710840877365414
21466-07-9,0.0,0.5460959234229421,0.34190042132329235,0.11200365525376556
25637-99-4,0.0,0.10687240554588828,0.6593673475620584,0.2337602468920534
25713-60-4,0.21395289018472394,0.2143612136541397,0.32298566538989043,0.24870023077124606
19186-97-1,0.09977588532753234,0.0,0.8001707430598092,0.10005337161265862
63333-35-7,0.5552497916798085,0.16461329403189146,0.1480117311352159,0.1321251831530841
1522-92-5,0.09799125817679286,0.17272601311575891,0.7292827287074483,0.0
57729-86-9,0.5031151899025863,0.18222630428267833,0.31465850581473537,0.0
118-79-6,0.28912097353653005,0.3940337322260525,0.31684529423741736,0.0
25333-96-4,0.0,0.6217247677005043,0.2908655332657441,0.08740969903375159
1689-99-2,0.0,0.7015208727223432,0.29847912727765685,0.0
3562-84-3,0.0,0.3205682946931357,0.4347948718371312,0.244636833469733
611-75-6,0.0,0.5646801414096322,0.32761561111331067,0.10770424747705719
3296-90-0,0.0,0.26536318705937895,0.6548560878854232,0.07978072505519782
13181-17-4,0.12320456905186646,0.10344289303399999,0.4427799318927644,0.3305726060213691
615-58-7,0.11678972900821236,0.202512128233829,0.6806981427579587,0.0
6609-53-6,1.0,0.0,0.0,0.0
53615-23-9,1.0,0.0,0.0,0.0
89427-28-1,1.0,0.0,0.0,0.0
89427-33-8,1.0,0.0,0.0,0.0
14689-56-6,1.0,0.0,0.0,0.0
3393-60-0,1.0,0.0,0.0,0.0
89427-29-2,1.0,0.0,0.0,0.0
15287-51-1,0.15313418701036013,0.20820159257641666,0.6386642204132231,0.0
94847-66-2,0.3568889864331643,0.21338073982033035,0.4297302737465053,0.0
2034-22-2,0.2320851818863421,0.21479341690010015,0.5531214012135578,0.0
52907-07-0,0.21258134311189728,0.20721362024271092,0.34111595702374425,0.2390890796216476
50585-41-6,0.8321526540696079,0.08353772735731298,0.08430961857307903,0.0
3322-93-8,0.0,0.3032537308396073,0.569503322905765,0.12724294625462773
21850-44-2,0.09969755355883794,0.2022209844387081,0.3966085334647379,0.30147292853771607
7682-32-8,1.0,0.0,0.0,0.0
89427-35-0,1.0,0.0,0.0,0.0
126-72-7,0.21003957116403757,0.3296156471975652,0.33378466247600214,0.12656011916239512
3194-55-6,0.0,0.20584085204970654,0.5473048507458081,0.24685429720448532
20566-35-2,0.0,0.3270972127104864,0.3255737326103369,0.34732905467917663
2338-30-9,1.0,0.0,0.0,0.0
87-84-3,0.0,0.2186509551847991,0.5694432879212944,0.2119057568939065
608-71-9,0.22900629493998578,0.30737907546410626,0.2488020827955626,0.2148125468003453
32588-76-4,0.1086871687486111,0.1027568321818613,0.33727764776928243,0.451278351300245
32536-52-0,0.09854722919156131,0.2940981333480339,0.17497281272164786,0.43238182473875686
27858-07-7,0.0,0.0875078966607438,0.15609301642957887,0.7563990869096773
61262-53-1,0.08969387505188874,0.10112622657656234,0.18422141700606695,0.6249584813654819
84852-53-9,0.0,0.07536748450774196,0.22695759582592936,0.6976749196663287
13654-09-6,0.0,0.0,0.22673883138706893,0.773261168612931
3674-13-3,0.0,0.45872898670960405,0.5412710132903958,0.0
78-75-1,0.0,0.5618369851310994,0.4381630148689008,0.0
89427-38-3,1.0,0.0,0.0,0.0
10474-14-3,0.0,0.22378704926110563,0.7762129507388943,0.0
300-76-5,0.596192313628165,0.4038076863718349,0.0,0.0
2872-96-0,0.32346121862813454,0.5787673557991356,0.09777142557272986,0.0
106-93-4,0.0,0.486029613167117,0.42365685981904166,0.0903135270138413
1947-58-6,0.17854568505678253,0.19685079275403175,0.6246035221891857,0.0
96-13-9,0.1161667877123061,0.41988667446398054,0.4639465378237134,0.0
96-12-8,0.0,0.435195861897789,0.564804138102211,0.0
18791-02-1,0.0,0.6665970366998913,0.3334029633001086,0.0
75-81-0,0.0,0.35819624775202014,0.4435126476844226,0.19829110456355722
590-12-5,0.09791684901054455,0.717553163879296,0.09156375059024799,0.09296623651991151
2302-30-9,0.403332321950589,0.29503343804497617,0.30163424000443484,0.0
14689-59-9,1.0,0.0,0.0,0.0
79-27-6,0.0,0.6600387224323373,0.24484022392385335,0.09512105364380921
63867-08-3,0.0,0.08218579851480791,0.6389452671161455,0.2788689343690465
64047-47-8,0.0,0.0,1.0,0.0
63938-47-6,0.1064275823278131,0.0,0.5450509653458143,0.3485214523263726
613-53-6,0.0,0.3331794723382419,0.44570952233965366,0.22111100532210431
115-17-3,0.09853383287555954,0.5892563383964138,0.31220982872802666,0.0
75-25-2,0.0,0.580572389010196,0.3357776906928966,0.08364992029690738
42136-31-2,0.6040253520850526,0.24295320211468968,0.1530214458002577,0.0
64050-72-2,0.12438854634780468,0.8756114536521954,0.0,0.0
42136-30-1,0.07985330858482474,0.6785993071564436,0.24154738425873162,0.0
26637-71-8,0.0,0.0,0.7509475505711076,0.24905244942889235
69094-18-4,0.20626607122073454,0.3562194467532239,0.32715248822238563,0.11036199380365587
74-95-3,0.0,0.5586011160206956,0.2858814928879001,0.15551739109140433
3252-43-5,0.0,0.6653077256426081,0.334692274357392,0.0
598-91-4,0.34982494003951276,0.42483903967661674,0.12310882272744877,0.10222719755642169
124-48-1,0.0,0.2710584953553251,0.6215418457759835,0.10739965886869139
25497-30-7,0.0,0.2862396967604915,0.18625342201367928,0.5275068812258292
83447-96-5,0.0,0.10381715517030726,0.7943144480829227,0.10186839674677
473-49-4,0.0,0.54252845604959,0.45747154395041,0.0
117900-35-3,0.21874548274767588,0.3292465501541041,0.45200796709821994,0.0
4460-32-6,0.16027654164727673,0.4213998601698384,0.3160963812935027,0.10222721688938216
2260-08-4,0.1416654947448305,0.09548232286993927,0.43958543200692807,0.3232667503783021
386-17-4,0.11854589165741951,0.10832327477524588,0.6811704954411024,0.09196033812623225
67-30-1,0.0,0.18591930152996816,0.6128232102910696,0.20125748817896236
16423-68-0,0.11486690587970354,0.10904844631931203,0.6835139885921131,0.09257065920887124
10397-75-8,0.0,0.0,0.17038627875278542,0.8296137212472146
59017-64-0,0.0,0.0,0.16425701009038787,0.8357429899096122
79770-24-4,0.0,0.0,0.28357064913205443,0.7164293508679456
7246-21-1,0.0,0.09871316371012073,0.42373732049729895,0.4775495157925802
96-84-4,0.09061066611044606,0.0,0.39969784650512347,0.5096914873844305
59939-17-2,0.0,0.08965816735723765,0.3093643172485375,0.600977515394225
16034-77-8,0.07537734753274752,0.0,0.5552289198900805,0.36939373257717195
22730-89-8,0.08407342778571374,0.0,0.43130136186463097,0.48462521034965533
31112-62-6,0.0,0.0,0.20067719256777497,0.7993228074322251
440-58-4,0.0,0.0,0.5746566822149793,0.4253433177850206
66108-95-0,0.0,0.0,0.20526721082519664,0.7947327891748033
3115-05-7,0.0,0.0,0.4326195199630325,0.5673804800369675
111453-32-8,0.0,0.0,0.390724743838973,0.609275256161027
19403-92-0,0.09379768074424996,0.42096623988316945,0.4852360793725805,0.0
37441-29-5,0.0,0.22422887006102832,0.41964645967182296,0.3561246702671488
19774-82-4,0.0,0.3383227434196059,0.44324406810576555,0.21843318847462856
3861-47-0,0.0,0.33757909482294496,0.2910362904806346,0.3713846146964204
57808-65-8,0.0,0.10498875572291634,0.7876161865610091,0.10739505771607458
577-91-3,0.10095271781656769,0.35813804508414676,0.5409092370992855,0.0
14689-57-7,0.8809569797578446,0.11904302024215535,0.0,0.0
17601-49-9,0.09963475337756013,0.43183154526492895,0.30873819113849044,0.15979551021902053
1746-25-4,0.28157760341861726,0.10194909356403764,0.5039748916563922,0.11249841136095286
29717-26-8,0.11523154378276583,0.10907096852490435,0.681549111704118,0.09414837598821181
75-47-8,0.0943929195723557,0.5360018898217984,0.36960519060584585,0.0
68439-50-9,0.0,0.0,0.6055873635919673,0.3944126364080326
9004-95-9,0.0,0.0,0.6580963061322496,0.34190369386775044
65-29-2,0.12255896242025378,0.4365734283446433,0.44086760923510276,0.0
63869-27-2,0.622140839525328,0.18013532237171223,0.19772383810295985,0.0
