CASRN,LD50_svm_ecfp6counts
23233-88-7,0.40774753067952585
87-12-7,0.43151742848543273
15435-29-7,-0.4414083657055826
629-03-8,0.347725267380407
488-41-5,0.8910647309210363
26846-51-5,0.7457020760724192
1324-11-4,-0.40836077097235657
4228-97-1,-1.6441767838626007
41035-29-4,-1.8840199565872975
87-10-5,-0.02752099840255795
21466-07-9,-0.27765197787699214
63333-35-7,-1.5083505141897056
57729-86-9,-1.4833983844578966
118-79-6,0.1706925984895482
25333-96-4,0.3537755534621082
1689-99-2,0.16308293029119159
3562-84-3,0.18256500586545066
611-75-6,-0.05275666193627215
3296-90-0,0.6480176700504685
13181-17-4,-0.6291331879885811
615-58-7,0.6023264628493596
6609-53-6,-1.0262674423833507
53615-23-9,-1.6097571305238407
89427-28-1,-2.034976407499231
89427-33-8,-1.9257391541234508
14689-56-6,-1.7864709401763874
3393-60-0,-1.3123428073035353
89427-29-2,-1.5565583588006664
15287-51-1,0.216023323639566
94847-66-2,0.1215066498896139
2034-22-2,0.0343438606157358
50585-41-6,-0.8728310341731954
3322-93-8,-0.07851878267656431
7682-32-8,-1.2375398158620259
89427-35-0,-1.6921446772405815
126-72-7,0.09060154851762092
2338-30-9,-1.3643392214979393
608-71-9,-0.2396219363067752
3674-13-3,1.0847170022696964
78-75-1,0.3874307330837975
89427-38-3,-1.5992227894659803
10474-14-3,0.32952360802022185
300-76-5,-0.4630881257310831
2872-96-0,0.7417035474938495
106-93-4,-0.11249393416362374
1947-58-6,0.8944067386492415
96-13-9,0.5907420022648237
96-12-8,0.16148536200215557
18791-02-1,-0.5784150521300305
75-81-0,0.1112792223194975
590-12-5,0.19643566830807402
14689-59-9,-2.0396838050553336
79-27-6,0.35410623480424774
63867-08-3,0.491269264057811
64047-47-8,0.8432784104168721
63938-47-6,0.20890418715908754
613-53-6,0.5916814292925687
115-17-3,0.9191781149592215
75-25-2,0.4653724967398851
42136-31-2,-0.7536340593706012
64050-72-2,-0.594180580913806
42136-30-1,-0.25489901012432536
26637-71-8,0.49309394019431185
69094-18-4,0.31495908268496675
74-95-3,0.27615652770036525
3252-43-5,-0.2174558412295382
598-91-4,-0.22085396049482048
124-48-1,0.2887347798521215
25497-30-7,0.09268815736385738
473-49-4,0.18008274287765558
117900-35-3,0.373557793773618
4460-32-6,-0.5696039695499573
2260-08-4,0.8072544629532187
386-17-4,-0.08814032027815555
67-30-1,0.47536289637347295
16423-68-0,-0.016108414471265653
59017-64-0,-0.0025458300396259403
7246-21-1,1.0491684095934732
96-84-4,0.570188605407803
59939-17-2,0.6783399426291394
16034-77-8,0.6791651228343
22730-89-8,1.2103383052922765
3115-05-7,0.6921343526460947
19403-92-0,0.3125268264461992
3861-47-0,0.24824752590931964
57808-65-8,-0.29499886245094126
577-91-3,-0.24848665142449822
14689-57-7,-1.5605624629475021
17601-49-9,0.5573358857321783
1746-25-4,0.13658671016664015
29717-26-8,0.43213921187509696
75-47-8,0.7351838144268537
9004-95-9,0.6596424570365044
63869-27-2,-1.2654997738373832
3247-33-4,-0.9016723624928032
70682-61-0,1.9547637817138586
301-13-3,1.452425300445401
78-42-2,1.280738922248108
15458-87-4,1.1867768084210204
105084-66-0,-0.5099742459128898
13080-06-3,1.0092788827437404
63869-22-7,-0.958452222371298
139-60-6,-0.30846984225403196
34206-40-1,-0.22096067029126665
23505-41-1,-0.2552450921855113
3857-80-5,0.5744789369913033
3687-16-9,0.5010440324401254
68289-21-4,0.014263247114662092
4559-86-8,1.1018429741082993
1941-30-6,1.7103063962755054
106-20-7,0.9556687423481564
10143-60-9,1.3788956994723862
19074-24-9,1.411354338827594
103-23-1,1.6105128665442168
117-81-7,1.4449339463123865
3658-48-8,1.5400932286648008
298-07-7,1.3315930638660074
63449-80-9,1.0322208998105808
7425-14-1,1.3263024333464464
18268-70-7,1.7884523735430733
94-28-0,1.4810965798383045
3282-85-7,0.7523704723923571
7790-07-0,0.8214636770580678
25724-60-1,0.9475088472731789
10022-60-3,0.8162190387226846
468-61-1,0.9409244831592972
4551-59-1,0.7923791177076555
57647-13-9,0.6072817670853702
27591-69-1,0.024877203536695203
589-32-2,-0.060908661807452025
78-53-5,-1.593519844600947
115-79-7,-0.09900502387874155
122-31-6,1.0032583487690023
78-10-4,1.6975336701284172
17356-42-2,-2.7215046027827148
3689-24-5,-0.7420886827813941
563-12-2,-0.8397795234167638
78-07-9,1.2165529125128671
20395-17-9,-2.1539202796139545
18300-10-2,-2.0209735847834134
2667-40-5,-0.537115311680452
55134-13-9,-0.2747426781555792
33446-90-1,1.314128532870778
27879-29-4,0.6746126501313926
55934-93-5,0.8391337133342385
52030-05-4,0.8939014173142533
74051-80-2,0.22009426868620063
2224-33-1,-0.6454966465838388
77-90-7,1.1670311578368788
21327-31-1,-0.27860421440877114
5826-91-5,-0.800744684606856
22787-59-3,-0.5770540430950568
22787-58-2,-1.4712098345944007
5675-57-0,-1.3169004526424422
3730-54-9,-0.37267145551537273
655-35-6,0.3166562271280523
77-89-4,1.6573974857973819
70833-40-8,0.568837552755754
67239-04-7,0.4962718848032509
2595-54-2,-0.5295204673547564
5137-55-3,0.6774201287579037
64036-99-3,-1.7203708799284336
26523-78-4,1.128960478721326
68814-95-9,1.0028753571241853
538-23-8,1.4125986417594079
2528-38-3,0.7326978335363957
51249-05-9,-0.2606333916182558
102-85-2,1.0043264491518977
126-73-8,0.8454720495823331
998-40-3,1.2636426622559753
115-78-6,0.7060302134136879
33060-84-3,0.37327186103762866
150-50-5,-0.49818150991042276
78-48-8,-0.15730744227079774
60-01-5,1.6733686878223586
74125-01-2,-0.6492220492450171
1496-94-2,0.6682556637227509
21270-07-5,0.0649330873173547
7346-61-4,0.948508779566148
63907-12-0,0.07846275316107254
1114-71-2,0.20974632891638123
64058-98-6,0.017940563401828702
64059-01-4,0.2512951778394451
13194-48-4,-0.4419893291828064
2511-15-1,-1.2444145737459595
90220-15-8,-1.62283431598558
759-94-4,0.6815313196871152
23184-66-9,0.8010271405586518
51218-49-6,0.6880288818348915
109965-82-4,0.05398096411645292
92953-10-1,0.09563128802253862
17088-72-1,0.24569135573700884
35850-79-4,0.4797112259261438
3309-68-0,-2.067104886382046
18109-81-4,-0.06566786418169634
139-45-7,0.8327912607067758
38727-55-8,1.0771817410078675
51356-13-9,-1.0957524184018945
33210-44-5,0.3030530435310662
33210-40-1,-0.4221008218043737
33210-43-4,-0.19544247551716132
1912-26-1,0.22905974065364154
7779-27-3,1.3838748726364067
78816-48-5,0.15351882763464875
2941-55-1,0.7815060517483551
4740-11-8,-0.02479868494993731
125-99-5,0.5697928919707119
5957-17-5,1.1860883043435138
2001-81-2,0.7581420410595824
56-37-1,0.13788159634977937
7789-92-6,1.3637734263376409
10140-99-5,0.7661338535825662
122-51-0,0.47460379879353287
63869-26-1,-1.0771346320073405
2425-25-4,-0.4072177665743441
5823-25-6,-0.46948751958102897
919-54-0,-0.4853719827401808
1067-47-6,1.152023379153128
919-30-2,0.9662422185138291
14814-09-6,1.124231295678004
34708-08-2,0.4963530079737112
