CASRN,LD50_RF_maccs
23233-88-7,0.20445924566379106
87-12-7,0.32383988583268997
15435-29-7,0.009108017934419822
629-03-8,0.2581426161623427
488-41-5,0.5609052470361477
26846-51-5,0.7103600305670215
1324-11-4,0.525583394206423
4228-97-1,-1.423089779682456
41035-29-4,-1.6064207901279661
87-10-5,0.328476767319827
21466-07-9,0.3652050240148016
63333-35-7,-1.3073550838802057
57729-86-9,-0.6200133505153823
118-79-6,-0.2042748945546829
25333-96-4,0.009176447953696687
1689-99-2,-0.0381860325852503
3562-84-3,-0.7332847348481693
611-75-6,0.33548350896376566
3296-90-0,0.22068132475208826
13181-17-4,0.11140376004304182
615-58-7,0.1965259195530667
6609-53-6,-1.3752019755209315
53615-23-9,-1.6645436839585979
89427-28-1,-1.6013253372874896
89427-33-8,-1.6064207901279661
14689-56-6,-1.6703374936603854
3393-60-0,-1.6192810182391382
89427-29-2,-1.5746342307841794
15287-51-1,0.25021106822249783
94847-66-2,0.32358266314895906
2034-22-2,-0.004494907439811694
50585-41-6,-2.1832051601007847
3322-93-8,0.5669731039654927
7682-32-8,-1.5746342307841794
89427-35-0,-1.6622988974723687
126-72-7,-0.07691682371283357
2338-30-9,-1.5275853620596793
608-71-9,0.07073592167595381
3674-13-3,0.5715547354329739
78-75-1,0.6318047257062419
89427-38-3,-1.28220394834837
10474-14-3,0.7062574067101736
300-76-5,-0.3567873213123947
2872-96-0,0.04709380026533554
106-93-4,0.27913942653767315
1947-58-6,0.4598269795626844
96-13-9,0.4341828486406063
96-12-8,0.4519272154201592
18791-02-1,0.37779977818994176
75-81-0,0.7347347540403049
590-12-5,0.39974763170929084
14689-59-9,-1.6064207901279661
79-27-6,0.4650206379677733
63867-08-3,0.739753748617934
64047-47-8,0.6166307924734613
63938-47-6,0.6381774622126035
613-53-6,0.28123487032194217
115-17-3,0.6090639492151493
75-25-2,0.4949854095461553
42136-31-2,-0.970430420917865
64050-72-2,-0.09719259205779154
42136-30-1,-0.016826028269161443
26637-71-8,0.7103883821333566
69094-18-4,0.40913684620696383
74-95-3,0.32418884284121013
3252-43-5,0.3473558103658665
598-91-4,0.10638489930539662
124-48-1,0.610950620971889
25497-30-7,0.6308422394703692
473-49-4,0.20878491669472385
117900-35-3,0.26037975262961227
4460-32-6,-0.30935951174076076
2260-08-4,0.3559252280857875
386-17-4,0.16972368108459238
67-30-1,0.3662384691831831
16423-68-0,-1.363350498592957
59017-64-0,0.4368372944750598
7246-21-1,0.5011726476725191
96-84-4,0.3133136613532045
59939-17-2,0.41342888843888626
16034-77-8,0.7242625001486225
22730-89-8,0.5659679673469598
3115-05-7,0.629617761055067
19403-92-0,0.20400229653998436
3861-47-0,0.10703259876672999
57808-65-8,0.38561133053678176
577-91-3,0.0020743809344204124
14689-57-7,-1.3734867542002425
17601-49-9,0.6332309582980253
1746-25-4,-0.6271384334793116
29717-26-8,-0.4259348409546056
75-47-8,0.49011738458035536
9004-95-9,1.0742677552912983
63869-27-2,-1.1691769158917578
3247-33-4,-0.9779622259728105
70682-61-0,0.7260428338176865
301-13-3,1.256798210405447
78-42-2,1.154875713039073
15458-87-4,0.5181033860114321
105084-66-0,-0.9760159605985502
13080-06-3,0.7539262818098118
63869-22-7,-1.0891853370940807
139-60-6,0.41852390247137944
34206-40-1,0.3278372576103445
23505-41-1,-0.17326988632557458
3857-80-5,0.5098676605831882
3687-16-9,0.5142702206139129
68289-21-4,0.5597352734436699
4559-86-8,0.8149494030290365
1941-30-6,0.45195605211678874
106-20-7,0.594248774802004
10143-60-9,1.2551434276636317
19074-24-9,1.4698388486839709
103-23-1,1.5636184417796453
117-81-7,1.500590788396888
3658-48-8,1.1835473023842078
298-07-7,1.1857358368191933
63449-80-9,0.6583386146466731
7425-14-1,1.616769950653962
18268-70-7,1.48943519857112
94-28-0,1.4487711787344544
3282-85-7,0.7590311873249636
7790-07-0,1.2692421892413634
25724-60-1,1.2570217458831316
10022-60-3,1.2734935190302556
468-61-1,0.5993646565475397
4551-59-1,0.4259409008293688
57647-13-9,0.37927367579019994
27591-69-1,0.3524540344458921
589-32-2,0.6364225500892183
78-53-5,-1.3760466642768543
115-79-7,0.3304124994585346
122-31-6,1.3854920031069076
78-10-4,0.9752910107684989
17356-42-2,-1.4349468219551864
3689-24-5,-0.9582458708500687
563-12-2,-1.2853177266644895
78-07-9,1.1506206279965954
20395-17-9,-1.5386521907863306
18300-10-2,-1.772214280961835
2667-40-5,-0.8826683924507173
55134-13-9,-0.4423779872582725
33446-90-1,1.01924690194528
27879-29-4,0.5365519850723891
55934-93-5,1.393355648468286
52030-05-4,0.8491723777709314
74051-80-2,0.6416336660691154
2224-33-1,0.325240862441559
77-90-7,1.335878874532673
21327-31-1,-0.1250489520221991
5826-91-5,-0.8280808556703385
22787-59-3,-1.071638302689105
22787-58-2,-1.4093111678463175
5675-57-0,-0.6328580731173393
3730-54-9,-0.4861726326280285
655-35-6,0.06075937780943654
77-89-4,1.240654082423531
70833-40-8,1.1809164388191782
67239-04-7,0.5574113128657664
2595-54-2,-0.5534070961233226
5137-55-3,0.5340149528548326
64036-99-3,-1.519121147686726
26523-78-4,0.9199260121369481
68814-95-9,0.49629301183890906
538-23-8,1.5085986317740183
2528-38-3,1.2173391657419121
51249-05-9,0.3881474464057642
102-85-2,1.0071327572535738
126-73-8,0.9376810219891362
998-40-3,1.0033208015611854
115-78-6,0.4670486743508315
33060-84-3,0.08872200344060799
150-50-5,-0.4540750137354973
78-48-8,-0.7963675287133724
60-01-5,1.193831313596712
74125-01-2,-0.9804056563492886
1496-94-2,1.100077328360336
21270-07-5,-0.03757862696644411
7346-61-4,0.9833341464761218
63907-12-0,1.0800033162011955
1114-71-2,0.7576314787674642
64058-98-6,0.12328680674379063
64059-01-4,0.3961733263940435
13194-48-4,-0.8057621179217156
2511-15-1,-1.4584776244010944
90220-15-8,-1.1106377388272053
759-94-4,0.7652233415839821
23184-66-9,0.6440658602294167
51218-49-6,0.7290110429939368
109965-82-4,0.12066193266532808
92953-10-1,0.26764432919507675
17088-72-1,0.5551729948244445
35850-79-4,0.7017562625247874
3309-68-0,-1.629419171355815
18109-81-4,0.5701770646632983
139-45-7,1.3323550148926384
38727-55-8,0.7246337438913313
51356-13-9,-1.203583320343961
33210-44-5,0.12826147245159747
33210-40-1,-0.26025201403053355
33210-43-4,0.06221399347400618
1912-26-1,0.5270294889139461
7779-27-3,0.7113238910318664
78816-48-5,0.30396393623212553
2941-55-1,0.7301829686715043
4740-11-8,0.49831045481959346
125-99-5,0.40759204677019123
