CASRN,EPA_knn_maccs-1,EPA_knn_maccs-2,EPA_knn_maccs-3,EPA_knn_maccs-4
23233-88-7,0.0,0.1401813222394474,0.7989756470888362,0.06084303067171647
87-12-7,0.0,1.0,0.0,0.0
31810-89-6,0.0,0.18786355194229234,0.27890406394103784,0.5332323841166698
60012-87-5,0.0,0.13798112963681014,0.3459273620266253,0.5160915083365646
15435-29-7,0.05801065436908643,0.44805597519281226,0.46492804325355813,0.029005327184543215
629-03-8,0.06844281120808451,0.4284183126626856,0.5031388761292298,0.0
488-41-5,0.04994132143311624,0.10752134709387157,0.3307496215426282,0.5117877099303839
84-59-3,0.17556643515882955,0.2671069110782193,0.43367869748377547,0.12364795627917569
26846-51-5,0.0,0.20140641076893834,0.31762207789654423,0.4809715113345173
55916-20-6,0.08233058327629067,0.5027020211117916,0.3475249486615989,0.06744244695031884
1324-11-4,0.05543637670740474,0.3722501797268152,0.5168770668583753,0.05543637670740474
4228-97-1,1.0,0.0,0.0,0.0
41035-29-4,1.0,0.0,0.0,0.0
87-10-5,0.0,1.0,0.0,0.0
25327-89-3,0.0,0.1403168237740091,0.6030217864748385,0.25666138975115255
21466-07-9,0.0,0.19315718589377395,0.3611729719307576,0.4456698421754684
25637-99-4,0.0,0.3059157212317666,0.5599675850891409,0.13411669367909237
25713-60-4,0.0,0.0629945896740706,0.6109484186632356,0.32605699166269375
19186-97-1,0.10658532599814804,0.2911051800206983,0.5028323982787735,0.09947709570238031
63333-35-7,0.5166277712952159,0.38266300820311255,0.10070922050167166,0.0
1522-92-5,0.23957239834837987,0.2130193388853897,0.49119369211747965,0.05621457064875079
57729-86-9,0.5158998022978056,0.3097448741095896,0.17435532359260483,0.0
118-79-6,0.5,0.5,0.0,0.0
25333-96-4,0.0,1.0,0.0,0.0
1689-99-2,0.0,0.4231592878872825,0.5768407121127176,0.0
3562-84-3,0.12806331598528659,0.24376549089359098,0.45998547605390705,0.16818571706721533
