CASRN,LD50_svm_rdkit2d
23233-88-7,0.15557143480247526
87-12-7,0.6937726293157515
15435-29-7,0.08884852739315463
629-03-8,0.6467275231883067
488-41-5,1.0106036309286996
26846-51-5,0.43290772382501874
1324-11-4,0.6973452728342189
4228-97-1,-1.507393266456882
41035-29-4,-1.7540655818218407
87-10-5,0.3991215189170802
21466-07-9,0.1183929635800477
63333-35-7,-0.46119195143709846
57729-86-9,-0.44575337790296643
118-79-6,-0.05361038295111731
25333-96-4,-0.0016563248372596928
1689-99-2,0.019185575081546724
3562-84-3,0.09279332275685598
611-75-6,-0.34868147791872584
3296-90-0,0.3666682958782577
13181-17-4,0.33815502347822035
615-58-7,0.344676705205143
6609-53-6,-1.376748721337826
53615-23-9,-1.6644503865641187
89427-28-1,-2.1792008443571516
89427-33-8,-1.8504322132306554
14689-56-6,-1.8980556266779005
3393-60-0,-1.6356414070488636
89427-29-2,-1.8826581960119257
15287-51-1,-0.38687086370660556
94847-66-2,-0.5979198260166985
2034-22-2,-0.35582802020463244
50585-41-6,-0.5436532361499824
3322-93-8,0.3280584976067966
7682-32-8,-1.660846479194258
89427-35-0,-1.817571749124846
126-72-7,0.32363181740152724
2338-30-9,-1.4206847095543402
608-71-9,0.018409386155762486
3674-13-3,0.4307819516636948
78-75-1,0.6025016591407579
89427-38-3,-1.617492478353748
10474-14-3,0.4416106184184913
300-76-5,-0.6863935528686245
2872-96-0,-0.3780682021641398
106-93-4,0.38724136991803904
1947-58-6,0.21167791052493
96-13-9,0.24992992288163726
96-12-8,0.40362914270827893
18791-02-1,0.07360453185837612
75-81-0,0.6152962681731197
590-12-5,0.5178039557365679
14689-59-9,-1.7959191234043224
79-27-6,0.11881300038900511
63867-08-3,0.29002498042860747
64047-47-8,0.3786457543466425
63938-47-6,0.25900850926979213
613-53-6,0.10114386609448
115-17-3,0.26914407675721996
75-25-2,0.3344352194941114
42136-31-2,-0.5794177412519347
64050-72-2,-0.1051282126791453
42136-30-1,-0.2915450295439098
26637-71-8,0.9336864408148863
69094-18-4,0.058370237122916446
74-95-3,0.6843952625356572
3252-43-5,0.11158297488544383
598-91-4,0.20912913236800285
124-48-1,0.6311331191643593
25497-30-7,0.3172899065319524
473-49-4,-0.1145202970509866
117900-35-3,0.18672186399785784
4460-32-6,-0.454962602646955
2260-08-4,0.42155557741689886
386-17-4,0.5017819660889129
67-30-1,0.5394911915142836
16423-68-0,0.43836933220751995
59017-64-0,0.603951515257455
7246-21-1,0.7663898376927266
96-84-4,0.4316962156654478
59939-17-2,0.5389454587017426
16034-77-8,0.8605909495094165
22730-89-8,0.4583764456537986
3115-05-7,0.6454522560683089
19403-92-0,-0.1585259098859424
3861-47-0,0.03224134890539254
57808-65-8,0.20565653952106405
577-91-3,0.008842409635107296
14689-57-7,-1.0912227301924888
17601-49-9,0.5084825587092481
1746-25-4,-0.6720883587711993
29717-26-8,-0.054506534453127475
75-47-8,0.5358158086890812
9004-95-9,0.5197761704469313
63869-27-2,-0.40179294633783624
3247-33-4,-0.9019996162283264
70682-61-0,0.9690372939620356
301-13-3,1.0986871594137542
78-42-2,1.1553489088842839
15458-87-4,0.16302376515418576
105084-66-0,-0.5389051154958096
13080-06-3,1.1399148475254344
63869-22-7,-1.0588455515806052
139-60-6,0.6870694930142384
34206-40-1,0.539502143397691
23505-41-1,-0.16494085536604325
3857-80-5,0.03952288785109853
3687-16-9,0.5640940428542067
68289-21-4,0.4646272066975561
4559-86-8,1.06512905622708
1941-30-6,0.533883637269251
106-20-7,0.7374062484455519
10143-60-9,1.1069228026847258
19074-24-9,1.6140830706979932
103-23-1,1.4668044075065947
117-81-7,1.8361980632845085
3658-48-8,1.129323702618288
298-07-7,1.048139028343387
63449-80-9,0.6295734228123774
7425-14-1,1.4435596675325946
18268-70-7,1.2408913557439598
94-28-0,1.386910720035461
3282-85-7,1.2241685982738084
7790-07-0,1.2871144829229348
25724-60-1,1.3300410433224994
10022-60-3,1.4473638682806849
468-61-1,0.862054522312035
4551-59-1,0.6387131293513476
57647-13-9,0.4878709812415092
27591-69-1,0.4322630934723512
589-32-2,0.27532102712207707
78-53-5,-0.4716240654507009
115-79-7,0.20863653649906072
122-31-6,1.0791390371727387
78-10-4,1.4287493654814807
17356-42-2,-1.817316675481789
3689-24-5,-0.538672333918603
563-12-2,-1.3894202812689251
78-07-9,1.4407264900780559
20395-17-9,-1.5997430508965602
18300-10-2,-1.4983932116614174
2667-40-5,-1.227041579969227
55134-13-9,0.3737742777878924
33446-90-1,1.4320582497657468
27879-29-4,0.7023875087480883
55934-93-5,1.2077650945126783
52030-05-4,1.1632063627122617
74051-80-2,0.5515301373902589
2224-33-1,0.3804980377738316
77-90-7,1.086363010331816
21327-31-1,-0.5016644986486094
5826-91-5,-0.2957074319988616
22787-59-3,-1.0470851308325615
22787-58-2,-0.8382296761677979
5675-57-0,-0.46097325199578354
3730-54-9,0.4767272713716962
655-35-6,0.12351497512858878
77-89-4,1.034954574246593
70833-40-8,1.2934842911328608
67239-04-7,1.00684874131257
